Wine Name,Grape,Popularity,Score,Avg Price(nzd)
"Saint Clair Pinot Noir, Marlborough, NZ",Pinot Noir,15178,87,25
"Kiwa by Escarpment Pinot Noir, Martinborough, NZ",Pinot Noir,15178,91,70
"Wairau Cove Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,15482,84,14
"Rippon Emma's Block Mature Vine Pinot Noir, Wanaka, NZ",Pinot Noir,15482,92,100
"Man O' War Ironclad, Waiheke Island, NZ",Bordeaux Blend,15482,91,43
"Quartz Reef Single Vineyard Pinot Noir, Central Otago, NZ",Pinot Noir,15877,91,57
"Fromm Pinot Noir, Marlborough, NZ",Pinot Noir,15969,92,49
"Grove Mill Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,16073,87,21
"Villa Maria Single Vineyard Taylors Pass Sauvignon Blanc,Marlborough, NZ",Sauvignon Blanc,16073,90,31
"Mount Riley Wines Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,16173,87,16
"Auntsfield Single Vineyard Southern Valleys Pinot Noir, Marlborough, NZ",Pinot Noir,16254,90,39
"Hay Maker Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,16254,87,18
"Southern Ocean Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,16254,86,20
"Clos Henri 'Petit Clos' Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,16346,88,25
"Neudorf Moutere Chardonnay, Nelson, NZ",Chardonnay,16462,93,90
"Clos Henri 'Petit Clos' Pinot Noir, Marlborough, NZ",Pinot Noir,16462,88,27
"Baron Edmond de Rothschild 'Rimapere' Single Vineyard,Pinot Noir, Marlborough, NZ",Pinot Noir,16564,87,45
"Tikohi Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,16564,85,23
"Villa Maria Cellar Selection Pinot Noir, Marlborough, NZ",Pinot Noir,16564,88,25
"Villa Maria The Gravels Ngakirikiri, Hawke's Bay, NZ",Cabernet Sauvignon,16661,93,144
"Savee Sea Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,16661,89,21
"Wither Hills Pinot Noir, Marlborough, NZ",Pinot Noir,16661,88,18
"Barker's Marque 'Three Brooms' Single Vineyard Sauvignon Blanc, NZ",Sauvignon Blanc,16767,88,23
"Seresin Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,16767,89,29
"Map Maker Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,16767,87,21
"Bell Hill Chardonnay, Canterbury, NZ",Chardonnay,16887,93,199
"Kia Ora Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,16989,89,20
"Wild Rock Pinot Noir, Central Otago, NZ",Pinot Noir,16989,85,31
